taxon_id,radius,date,count
47170,200,2022-08-31,58910
50814,200,2022-08-31,39634
48372,200,2022-08-31,5463
40151,200,2022-08-31,9138
1094814,200,2022-08-31,22023
848317,200,2022-08-31,9027
48427,200,2022-08-31,3269
55484,200,2022-08-31,510
52380,200,2022-08-31,717
48195,200,2022-08-31,192
50814,20,2022-08-31,397
83797,20,2022-08-31,12
47416,20,2022-08-31,21
7823,20,2022-08-31,124
373470,20,2022-08-31,2
1062676,20,2022-08-31,2
53490,20,2022-08-31,4
83951,20,2022-08-31,3
52855,20,2022-08-31,107
52693,20,2022-08-31,19
50829,20,2022-08-31,174
83797,200,2022-08-31,102
47416,200,2022-08-31,983
7823,200,2022-08-31,9863
373470,200,2022-08-31,212
1062676,200,2022-08-31,116
53490,200,2022-08-31,301
83951,200,2022-08-31,86
52855,200,2022-08-31,6376
52693,200,2022-08-31,712
50829,200,2022-08-31,6442
49230,20,2022-08-31,24
541758,20,2022-08-31,24
62187,20,2022-08-31,21
52713,20,2022-08-31,56
53300,20,2022-08-31,22
51886,20,2022-08-31,68
55930,20,2022-08-31,5
327977,20,2022-08-31,1
54582,20,2022-08-31,5
59571,20,2022-08-31,45
49230,200,2022-08-31,734
541758,200,2022-08-31,661
62187,200,2022-08-31,549
52713,200,2022-08-31,2559
53300,200,2022-08-31,1128
51886,200,2022-08-31,5285
55930,200,2022-08-31,427
327977,200,2022-08-31,13
54582,200,2022-08-31,971
59571,200,2022-08-31,3907
47544,20,2022-08-31,99
47415,20,2022-08-31,6
48339,20,2022-08-31,16
1070919,20,2022-08-31,1
966205,20,2022-08-31,51
48206,20,2022-08-31,76
56133,20,2022-08-31,66
52856,20,2022-08-31,45
55643,20,2022-08-31,25
47544,200,2022-08-31,4973
47415,200,2022-08-31,385
48339,200,2022-08-31,1207
1070919,200,2022-08-31,3
966205,200,2022-08-31,1092
48206,200,2022-08-31,2823
56133,200,2022-08-31,3111
52856,200,2022-08-31,3917
55643,200,2022-08-31,360
741459,20,2022-08-31,24
25591,20,2022-08-31,28
560192,20,2022-08-31,1
56064,20,2022-08-31,27
69624,20,2022-08-31,43
321535,20,2022-08-31,3
740984,20,2022-08-31,23
52821,20,2022-08-31,81
159763,20,2022-08-31,48
52720,20,2022-08-31,28
130039,20,2022-08-31,6
119946,20,2022-08-31,10
909393,20,2022-08-31,5
324093,20,2022-08-31,5
50790,20,2022-08-31,34
55821,20,2022-08-31,14
159973,20,2022-08-31,26
77120,20,2022-08-31,46
60284,20,2022-08-31,8
129115,20,2022-08-31,46
57190,20,2022-08-31,17
123628,20,2022-08-31,19
75762,20,2022-08-31,37
198886,20,2022-08-31,22
62207,20,2022-08-31,22
125012,20,2022-08-31,35
56164,20,2022-08-31,14
79514,20,2022-08-31,7
124138,20,2022-08-31,9
132481,20,2022-08-31,3
161763,20,2022-08-31,35
47602,20,2022-08-31,75
56126,20,2022-08-31,49
56222,20,2022-08-31,47
35453,20,2022-08-31,17
855316,20,2022-08-31,3
61454,20,2022-08-31,10
50247,20,2022-08-31,19
55760,20,2022-08-31,54
77266,20,2022-08-31,3
124359,20,2022-08-31,26
79460,20,2022-08-31,8
43048,20,2022-08-31,4
556645,20,2022-08-31,8
1092837,20,2022-08-31,3
204167,20,2022-08-31,23
351629,20,2022-08-31,1
78712,20,2022-08-31,1
60997,20,2022-08-31,11
283890,20,2022-08-31,3
76907,20,2022-08-31,19
79409,20,2022-08-31,7
57500,20,2022-08-31,35
131203,20,2022-08-31,4
61948,20,2022-08-31,13
62338,20,2022-08-31,35
61321,20,2022-08-31,40
64162,20,2022-08-31,14
58722,20,2022-08-31,165
79408,20,2022-08-31,22
841645,20,2022-08-31,45
47435,20,2022-08-31,18
69814,20,2022-08-31,32
52724,20,2022-08-31,47
485803,20,2022-08-31,9
204260,20,2022-08-31,46
127960,20,2022-08-31,22
84031,20,2022-08-31,22
118850,20,2022-08-31,54
76480,20,2022-08-31,10
402509,20,2022-08-31,23
56077,20,2022-08-31,24
55022,20,2022-08-31,15
117299,20,2022-08-31,31
59029,20,2022-08-31,12
58127,20,2022-08-31,15
55967,20,2022-08-31,5
55909,20,2022-08-31,30
60076,20,2022-08-31,17
447878,20,2022-08-31,21
79441,20,2022-08-31,42
67808,20,2022-08-31,21
52989,20,2022-08-31,38
55411,20,2022-08-31,17
52135,20,2022-08-31,1
56312,20,2022-08-31,41
51893,20,2022-08-31,20
161868,20,2022-08-31,6
52592,20,2022-08-31,11
50298,20,2022-08-31,53
126756,20,2022-08-31,7
